Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;id
70;Me Porto Bonito;Bad Bunny, Chencho Corleone;29/05/2023;0.911;0.712;-5105.0;0.082;0.09;0.0;0.425;6Sq7ltF9Qa7SNFBsV5Cogx
71;Snooze;SZA;29/05/2023;0.559;0.551;-7231.0;0.132;0.141;0.0;0.392;4iZ4pt7kvcaH6Yo8UoZ4s2
72;Abcdario;Eden Muñoz, Junior H;29/05/2023;0.703;0.429;-9076.0;0.031;0.783;0.0;0.416;0qCPD6ilr9nXkI4KVZgcns
73;Enchanted;Taylor Swift;29/05/2023;0.535;0.618;-3913.0;0.027;0.072;0.0;0.228;3sqrvkNC6IPTIXvvbx9Arw
74;Bones;Imagine Dragons;29/05/2023;0.772;0.75;-3.67;0.046;0.02;0.0;0.587;54ipXppHLA8U4yqpOFTUhr
75;Karma;Taylor Swift;29/05/2023;0.642;0.62;-7091.0;0.067;0.073;0.0;0.097;7KokYm8cMIXCsGVmUvKtqf
76;OMG;NewJeans;29/05/2023;0.804;0.771;-4067.0;0.043;0.357;0.0;0.739;65FftemJ1DbbZ45DUfHJXE
77;Left and Right (Feat. Jung Kook of BTS);Charlie Puth, Jung Kook, BTS;29/05/2023;0.881;0.592;-4898.0;0.032;0.619;0.0;0.719;5Odq8ohlgIbQKMZivbWkEo
78;FLOWER;JISOO;29/05/2023;0.841;0.384;-7684.0;0.035;0.024;0.0;0.597;69CrOS7vEHIrhC2ILyEi0s
79;STAY (with Justin Bieber);The Kid LAROI, Justin Bieber;29/05/2023;0.591;0.764;-5484.0;0.048;0.038;0.0;0.478;567e29TDzLwZwfDuEpGTwo
80;El Gordo Trae El Mando;Chino Pacas;29/05/2023;0.736;0.8;-5.38;0.053;0.179;0.0;0.961;3kf0WdFOalKWBkCCLJo4mA
81;Chanel;Becky G, Peso Pluma;29/05/2023;0.852;0.675;-5738.0;0.036;0.397;0.003;0.528;5RcxRGvmYai7kpFSfxe5GY
82;Those Eyes;New West;29/05/2023;0.593;0.352;-8296.0;0.028;0.695;0.0;0.226;50x1Ic8CaXkYNvjmxe3WXy
83;Escapism.;RAYE, 070 Shake;29/05/2023;0.538;0.742;-5355.0;0.114;0.138;0.0;0.25;5mHdCZtVyb4DcJw8799hZp
84;AMARGURA;KAROL G;29/05/2023;0.92;0.696;-3356.0;0.074;0.183;0.0;0.545;505v13epFXodT9fVAJ6h8k
